head_noun,head_noun_in_main_clause,clause_verb,filler_gap_dependency,restrictiveness,relativizer,head_noun_in_rc,relative_clause,relative_clause_length,rc_type,structure_pattern,file,sent,sentence_word_count,sentence_verb_count
powers,dobj,grief,4,restrictive,that,nsubj,that be so much grief,5,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/cracked.txt,"""If this silly song caused the powers that be so much grief, it boggles the mind to imagine what else is censored 'on our behalf' every day, far away from the Kodak Theatre.""",39,6
schedule,dobj,found,2,restrictive,which,nsubj,"which has found episodes dropping on a biweekly basis , much to the",13,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/cracked.txt,"This is because the show has a new, wildly ill-defined schedule, which has found episodes dropping on a biweekly basis, much to the.",27,5
anybody,dobj,might…,1,restrictive,who,nsubj,who might…,2,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/cracked.txt,Do you know anybody who might…? ',8,3
sketches,nsubj,hint,1,restrictive,which,nsubj,which hint at a slumber party,6,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/cracked.txt,"The sketches, which hint at a slumber party gone wrong in ""The Governmentalist, """,17,2
values,dobj,last,2,restrictive,that,nsubj,that will last a lifetime,5,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/aleteia.txt,"It’s a reminder that God knows our needs — and often, He meets them in ways beyond material things: in family closeness, in peace of heart, in opportunities to teach children values that will last a lifetime.",44,5
homily,nsubj,gave,3,restrictive,zero,zero,Pope Francis gave on that occasion,6,ORC,zero relative,input_texts/completed-websites-f25/aleteia.txt,Here is the homily Pope Francis gave on that occasion.,11,2
gathering,dobj,praised,3,restrictive,where,advmod,where the Pope praised technology ’ s potential in healthcare and science but voiced deep concern about its possible misuse,20,Other,NP + Comp + NP2,input_texts/completed-websites-f25/aleteia.txt,"In June, the Vatican hosted a global gathering on AI, ethics, and governance, where the Pope praised technology’s potential in healthcare and science but voiced deep concern about its possible misuse.",38,4
future,dobj,finds,3,restrictive,which,pobj,"in which every worker finds dignity , security , and purpose",11,ORC,NP + Comp + NP2 + Verb,input_texts/completed-websites-f25/aleteia.txt,"""Let us commit ourselves,"" it recommends, ""through prayer and action, to building a future in which every worker finds dignity, security, and purpose.",32,5
students,nsubjpass,received,5,restrictive,who,nsubj,who may not otherwise have received a Catholic education,9,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/aleteia.txt,"Because of FIRE support, many students who may not otherwise have received a Catholic education will be welcomed into Catholic school communities and provided with the assistance they may need to receive a full Catholic education.",38,8
help,dobj,imply,2,restrictive,which,nsubj,"which can imply extra costs in the form of teacher assistants , tutoring , extra evaluations , or specific accommodations",20,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/aleteia.txt,"Students with disabilities sometimes need extra help, which can imply extra costs in the form of teacher assistants, tutoring, extra evaluations, or specific accommodations.",29,3
child,nsubj,know,2,restrictive,who,dobj,who they know will not be able to attend Catholic school unless there are additional supports,16,ORC,NP + Comp + NP2 + Verb,input_texts/completed-websites-f25/aleteia.txt,The schools recognize that there is a child who they know will not be able to attend Catholic school unless there are additional supports.,25,6
things,nsubj,take,1,restrictive,that,nsubj,that take time to figure out,6,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/aleteia.txt,"There are things that take time to figure out -- like figuring out how many students schools can responsibly serve and finding personnel who not only have a Catholic outlook, but also the skills needed to serve students with disabilities.",42,9
personnel,dobj,have,3,restrictive,who,nsubj,who not only have a Catholic outlook,7,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/aleteia.txt,"There are things that take time to figure out -- like figuring out how many students schools can responsibly serve and finding personnel who not only have a Catholic outlook, but also the skills needed to serve students with disabilities.",42,9
things,dobj,make,2,restrictive,that,nsubj,that will make it successful,5,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/aleteia.txt,"Say yes and then let’s work together to build the things that will make it successful.""",20,4
journey,dobj,capsized,1,restrictive,that,nsubj,that capsized off the Atlantic coast of Mauritania,8,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/aleteia.txt,"Our hearts are also wounded by the more than 50 people who died and the 100 or so still missing following the shipwreck of a boat carrying migrants attempting the 1, 100 km- (685 mile-) journey towards the Canary Islands, that capsized off the Atlantic coast of Mauritania.",53,8
boats,nsubjpass,suffer,1,restrictive,that,nsubj,that suffer shipwreck,3,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/aleteia.txt,"The actual number of deaths however is likely much higher, as many boats that suffer shipwreck are never found.",21,4
texts,dobj,used,3,restrictive,that,nsubjpass,that can be used on this day,7,SRC,NP + Comp + Verb + NP2 (passive),input_texts/completed-websites-f25/aleteia.txt,"While not every parish offers public Mass on Labor Day, which always falls on a Monday, the Church does provide Mass texts that can be used on this day.",32,5
selections,nsubj,highlight,1,restrictive,that,nsubj,that highlight this theme,4,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/aleteia.txt,Here are a few selections that highlight this theme.,10,2
God,nsubj,commanded,2,restrictive,who,nsubj,who have commanded the human race to bear the burden of labor,12,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/aleteia.txt,"O God, Creator of all things, who have commanded the human race to bear the burden of labor, grant that the work we are beginningmay bring progress in this lifeand, by your favor, advance the spread of the Kingdom of Christ.",47,4
work,dobj,befits,1,restrictive,that,nsubj,that befits their dignity,4,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/aleteia.txt,"O God, who through human labornever cease to perfect and govern the vast work of creation, listen to the supplications of your peopleand grant that all men and womenmay find work that befits their dignity, joins them more closely to one anotherand enables them to serve their neighbor.",52,8
those,nsubj,friends,3,restrictive,who,nsubj,who became their friends,4,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/aleteia.txt,And then there were those who became their friends; people they met on the trail year after year.,20,3
Cyprien,nsubj,says,2,restrictive,who,nsubj,who also says that his faith has evolved in terms of `` embodying ” and `` living ” it,19,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/aleteia.txt,"Walking is conducive to contemplation and meditation,"" says Cyprien, who also says that his faith has evolved in terms of ""embodying” and ""living” it.",32,6
pandemic,dobj,infects,1,restrictive,which,nsubj,which infects our world,4,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/aleteia.txt,"Let us plead God to stop the pandemic of arms, large and small, which infects our world.",20,4
person,nsubj,supported,2,restrictive,who,nsubj,"who had supported our whole family since we arrived in France , for my medical appointments and then my father 's , our education and schooling , both my brother and me ,",33,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/aleteia.txt,"The person who had supported our whole family since we arrived in France, for my medical appointments and then my father's, our education and schooling, both my brother and me, was our mother, who continued to work to provide for the family.",49,7
someone,dobj,isolated,2,restrictive,who,nsubjpass,who is isolated,3,SRC,NP + Comp + Verb + NP2 (passive),input_texts/completed-websites-f25/aleteia.txt,"I know that often, especially when you're a teenager or young adult, you tell yourself that if you approach someone who is isolated, you risk becoming isolated yourself.",33,9
challenge,nsubj,face,2,restrictive,zero,zero,I face right now,4,ORC,zero relative,input_texts/completed-websites-f25/aleteia.txt,"""The biggest challenge I face right now is finally accepting that I am loved by God and my neighbor.",21,5
those,nsubj,doing,2,restrictive,that,nsubj,that are doing their part through inspirational projects,8,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/aleteia.txt,"While many people are doing their best to contribute to the global efforts being made to repair some of the damage -- by recycling, choosing to walk over taking the car, or caring for their community's natural surroundings -- there are those that are doing their part through inspirational projects.",54,14
importance,dobj,has,2,restrictive,zero,zero,Mass has in your life,5,ORC,zero relative,input_texts/completed-websites-f25/aleteia.txt,"Therefore, it's important to appreciate the great importance Mass has in your life, and that of your fellow parishioners.",23,3
data,dobj,examined,1,restrictive,that,nsubj,"that examined the theological beliefs of 45 , 000 Americans",10,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/aleteia.txt,"ACS Technologies just released data that examined the theological beliefs of 45, 000 Americans.",16,2
those,dobj,come,1,restrictive,who,nsubj,who come in and out of their doors,8,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/aleteia.txt,It’s never been more important for parishes to better know and understand those who come in and out of their doors ….,25,6
environment,dobj,welcome,2,restrictive,where,advmod,where we welcome others and proactively invite them to be active in the parish or to attend Mass,18,Other,NP + Comp + NP2,input_texts/completed-websites-f25/aleteia.txt,"The combination of engaged parishioners with a focus on including everyone, such as visitors and parishioners we may not know, provides the environment where we welcome others and proactively invite them to be active in the parish or to attend Mass.",44,7
senses,nsubj,offended,2,restrictive,that,nsubj,that most offended God,4,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/aleteia.txt,"The senses that most offended God, namely the eyes and the tongue, suffered the most, and it was indescriptable, unbelievable.""",26,2
those,dobj,think,2,restrictive,zero,zero,we think are capable of doing evil,7,ORC,zero relative,input_texts/completed-websites-f25/aleteia.txt,"We can also be tempted to try and fight violence with more violence, thinking that all we need to do is exterminate all those we think are capable of doing evil.",33,12
hope,dobj,sustains,1,restrictive,which,nsubj,which sustains their efforts to promote justice and peace,9,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/aleteia.txt,"Based on the certainty that evil will not prevail, Christians nourish an invincible hope which sustains their efforts to promote justice and peace.",25,5
peace,dobj,endure,2,restrictive,that,nsubj,that will endure for all eternity,6,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/aleteia.txt,"It may be difficult to see, but we need to have hope that God is in control and is preparing a lasting peace that will endure for all eternity.",31,8
world,dobj,ridicules,1,restrictive,that,nsubj,that ridicules the Church and called on Christians to oppose policies that go against their conscience,16,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/aleteia.txt,In a blunt speech to these mayors and city councilors of various political stripes — believers and non-believers alike — the Pope lamented a Western world that ridicules the Church and called on Christians to oppose policies that go against their conscience.,43,6
policies,dobj,go,1,restrictive,that,nsubj,that go against their conscience,5,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/aleteia.txt,In a blunt speech to these mayors and city councilors of various political stripes — believers and non-believers alike — the Pope lamented a Western world that ridicules the Church and called on Christians to oppose policies that go against their conscience.,43,6
politician,nsubj,lives,11,restrictive,who,nsubj,"who , under the gaze of God and his conscience , lives his commitments and responsibilities in a Christian manner",20,ORC,NP + Comp + NP2 + Verb,input_texts/completed-websites-f25/aleteia.txt,"But there is the politician who, under the gaze of God and his conscience, lives his commitments and responsibilities in a Christian manner.""",27,2
friend,dobj,come,2,restrictive,who,nsubj,who can come over to chat while we do dishes,10,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/aleteia.txt,"But if we don't have a friend who can come over to chat while we do dishes, then how about the next best thing?",27,4
gesture,dobj,says,1,restrictive,that,nsubj,that says a lot about their own marriage,8,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/aleteia.txt,"The older couple make a gesture that says a lot about their own marriage, and about how married love can help reconcile and restore others around us.",29,5
dad,dobj,’,1,restrictive,who,nsubj,who ’,2,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/aleteia.txt,Meet the dad who’s teaching basic skills on YouTube for kids without a father figure.,18,4
parents,dobj,absent,2,restrictive,who,nsubj,who were absent,3,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/aleteia.txt,The period of quarantine during the Covid-19 pandemic turned out to be a perfect time for himto finally share some basic essentials for kids who might be growing up in difficult circumstances -- maybe because they'd lost a parent or had parents who were absent.,47,7
audience,dobj,growing,2,restrictive,which,nsubj,which is growing by the day,6,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/aleteia.txt,"Rob's positive practical tips have really touched his audience, which is growing by the day.",18,4
those,dobj,distraught,2,restrictive,who,nsubj,who are distraught,3,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/aleteia.txt,"Comfort those who are distraught and mourn their loved ones who have died, and at times are buried in a way that grieves them deeply.",27,8
ones,dobj,died,2,restrictive,who,nsubj,who have died,3,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/aleteia.txt,"Comfort those who are distraught and mourn their loved ones who have died, and at times are buried in a way that grieves them deeply.",27,8
those,dobj,troubled,2,restrictive,who,nsubjpass,who are troubled by the uncertainty of the future,9,SRC,NP + Comp + Verb + NP2 (passive),input_texts/completed-websites-f25/aleteia.txt,Fill with hope those who are troubled by the uncertainty of the future and the consequences for the economy and employment.,22,2
doctors,dobj,are,1,restrictive,who,nsubj,"who are on the frontline of this emergency , and are risking their lives to save others",17,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/aleteia.txt,"Protect those doctors, nurses, health workers and volunteers who are on the frontline of this emergency, and are risking their lives to save others.",28,4
bond,dobj,unites,1,restrictive,that,nsubj,that unites us,3,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/aleteia.txt,"Beloved Mother, help us realize that we are all members of one great family and to recognize the bond that unites us, so that, in a spirit of fraternity and solidarity, we can help to alleviate countless situations of poverty and need.",47,7
those,nsubj,receive,1,restrictive,who,nsubj,who receive the pope ’ s `` Urbi et Orbi ” blessing through a live broadcast,16,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/aleteia.txt,"The Vatican determined some decades ago that those who receive the pope’s ""Urbi et Orbi” blessing through a live broadcast are eligible to receive its blessing, just as those physically present in St. Peter’s Square.",43,6
saints,nsubj,done,13,restrictive,who,nsubj,"who , through their lives of heroic patience and charity , have already done more than enough to ready their own souls for heaven",24,ORC,NP + Comp + NP2 + Verb,input_texts/completed-websites-f25/aleteia.txt,"Yet there are some saints who, through their lives of heroic patience and charity, have already done more than enough to ready their own souls for heaven.",30,4
those,nsubj,die,1,restrictive,who,nsubj,who die without having fallen back into sin,8,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/aleteia.txt,"In other words, since the plenary indulgence completely remits that due penalty, those who die without having fallen back into sin do not need the purification of Purgatory and may enter directly into heaven (cf.",39,7
Peter,nsubj,trust,5,restrictive,whose,poss,whose power and authority we trust,6,ORC,NP + whose + NP2 + Verb,input_texts/completed-websites-f25/aleteia.txt,"May the Holy Apostles Peter and Paul, in whose power and authority we trust, intercede for us before the Lord.",23,2
environment,dobj,overcome,3,restrictive,where,advmod,where students can overcome their barriers and blossom into their fullest potential,12,Other,NP + Comp + NP2,input_texts/completed-websites-f25/blog.cengage.txt,It's about cultivating an environment where students can overcome their barriers and blossom into their fullest potential.,19,4
strategies,nsubj,implement,2,restrictive,zero,zero,I implement at the beginning of every module and class,10,ORC,zero relative,input_texts/completed-websites-f25/blog.cengage.txt,Here are two teaching strategies I implement at the beginning of every module and class.,16,3
space,dobj,build,4,restrictive,where,advmod,where students can gradually build their comfort levels with both technology and interpersonal communication,14,Other,NP + Comp + NP2,input_texts/completed-websites-f25/blog.cengage.txt,"By implementing small group interactions, you provide a safe space where students can gradually build their comfort levels with both technology and interpersonal communication.",26,3
sense,dobj,essential,2,restrictive,which,nsubj,which is essential for establishing trust and encouraging participation,9,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/blog.cengage.txt,"Your allowance for the group to evolve naturally promotes a sense of ownership and community, which is essential for establishing trust and encouraging participation.",26,4
sense,dobj,crucial,2,restrictive,that,nsubj,"that is crucial in educational settings , especially in a virtual format",12,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/blog.cengage.txt,"It creates a sense of belonging that is crucial in educational settings, especially in a virtual format.",19,3
topics,nsubj,covered,2,restrictive,that,nsubjpass,that are covered in chapters two and three of our textbook,11,SRC,NP + Comp + Verb + NP2 (passive),input_texts/completed-websites-f25/blog.cengage.txt,"In classes studying federalism and the Constitution, topics that are covered in chapters two and three of our textbook, ""American Government: Institutions & Policies, "" 18e, students analyze primary sources and consider how the nature of federal and state power has evolved over the course of U.S. history.",55,7
analysts,dobj,understand,1,restrictive,who,nsubj,"who understand politics , as do many for-profit companies",9,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/blog.cengage.txt,"Many non-profit and government agencies hire data analysts who understand politics, as do many for-profit companies.",18,3
members,dobj,lobby,1,restrictive,who,nsubj,"who lobby Congress , government agencies and state legislatures about key pieces of legislation",14,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/blog.cengage.txt,"Many companies have staff members who lobby Congress, government agencies and state legislatures about key pieces of legislation.",20,2
factors,nsubj,highlight,1,restrictive,that,nsubj,that highlight this relationship,4,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/blog.cengage.txt,Here are a few key factors that highlight this relationship.,11,2
skills,dobj,seeking,3,restrictive,zero,zero,employers are seeking in many industries,6,ORC,zero relative,input_texts/completed-websites-f25/blog.cengage.txt,"In addition to being an interesting and engaging discipline, sociology coursework supports students in developing the skills employers are seeking in many industries.",25,6
software,dobj,desirable,3,restrictive,which,nsubj,which can be desirable in today 's workforce,8,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/blog.cengage.txt,"Plus, these courses give students opportunities to learn statistical techniques and use software, which can be desirable in today's workforce.",24,3
people,dobj,experienced,2,restrictive,who,nsubj,who have experienced sexual assault,5,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/blog.cengage.txt,Another works as an advocate at a crisis center to support people who have experienced sexual assault.,18,4
roadmap,dobj,extends,1,restrictive,that,nsubj,that extends beyond the course,5,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/blog.cengage.txt,Action Plans: Students create a roadmap for success that extends beyond the course.,15,2
words,dobj,original,3,restrictive,that,nsubj,that are not original,4,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/blog.cengage.txt,"Since students cannot prove learning and mastery of learning outcomes without work being original, I discuss with them and copy in their assignments that they should not use any words that are not original.",37,7
courses,dobj,evaluate,3,restrictive,where,advmod,where students critically evaluate difficult issues,6,Other,NP + Comp + NP2,input_texts/completed-websites-f25/blog.cengage.txt,"This includes applied ethics courses, where students critically evaluate difficult issues.",13,2
committees,nsubj,work,1,restrictive,which,nsubj,which work as case consultants and as policy advisors,9,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/blog.cengage.txt,"For example, in hospitals and research facilities, there are ethics committees and advisory boards which work as case consultants and as policy advisors.",26,2
pressure,dobj,were,2,restrictive,zero,zero,when we were undergraduates,4,ORC,zero relative,input_texts/completed-websites-f25/blog.cengage.txt,I get annoyed by professors my age who ignore the fact that today's students are under ten times the pressure we were when we were undergraduates.,28,6
hesitancies,dobj,arise,1,restrictive,that,nsubj,that arise when it comes to dietary and lifestyle change,10,ORC,NP + Comp + NP2 + Verb,input_texts/completed-websites-f25/blog.cengage.txt,"And by seeing and hearing actual clients, students can better understand the common hesitancies that arise when it comes to dietary and lifestyle change.",26,6
Thinking,dobj,taught,3,restrictive,which,nsubjpass,which was traditionally taught face-to-face ( F2F ),8,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/blog.cengage.txt,"When the COVID-19 pandemic necessitated a sudden shift in instructional methods, I had to reconsider how to deliver my senior-level undergraduate Entrepreneurial Thinking and Innovation course, which was traditionally taught face-to-face (F2F).",37,5
discussions,dobj,fostered,1,restrictive,that,nsubj,that fostered deeper engagement and tailored feedback,7,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/blog.cengage.txt,"Synchronous Milestone Meetings: Structured biweekly sessions replaced traditional lectures, enabling real-time, small-group discussions that fostered deeper engagement and tailored feedback.",24,5
decision,nsubj,helped,1,restrictive,that,nsubj,that helped her students do just that,7,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/blog.cengage.txt,"For one nutrition/health instructor, introducing Diet & Wellness Plus in MindTap to her students was a decision that helped her students do just that.",26,4
tool,dobj,help,2,restrictive,that,nsubj,"that would help them track and identify their own health behaviors , develop healthier lifestyle habits and become more career-confident",20,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/blog.cengage.txt,"Tech-motivated and on track to become Registered Dietitians, Cinda's students needed a tool that would help them track and identify their own health behaviors, develop healthier lifestyle habits and become more career-confident.",36,7
concept,dobj,applicable,2,restrictive,which,nsubj,which is applicable,3,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/blog.cengage.txt,"For example, in my early childhood education courses using MindTap, I ask students ""Describe a situation in your classroom or community where you encountered a child throwing a tantrum over something they wanted which was not in their best interest — aka: noting a specific concept which is applicable.",54,8
all-nighters,dobj,sleep,2,restrictive,where,advmod,where they sleep very little — or not at all — in order to complete an academic task,18,Other,NP + Comp + NP2,input_texts/completed-websites-f25/blog.cengage.txt,"However, we commonly see students pulling ""all-nighters"" where they sleep very little — or not at all — in order to complete an academic task.",29,4
area,nsubj,affected,2,restrictive,that,nsubjpass,that is affected,3,SRC,NP + Comp + Verb + NP2 (passive),input_texts/completed-websites-f25/blog.cengage.txt,One area that is affected is our memory of that day.,12,3
messages,dobj,said,1,restrictive,that,nsubj,"that said , `` Hey Fascist",6,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/wtvf.txt,"Cox said that ammunition casings found at the crime scene included messages engraved that said, ""Hey Fascist!",20,5
Marshal,nsubj,fantastic,2,restrictive,who,nsubj,who is fantastic,3,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/wtvf.txt,"Marshal, who is fantastic, and the father convinced the son that this is it.""",18,3
Tour,dobj,engaged,2,restrictive,where,advmod,where he engaged students through political debates under tents branded with phrases like `` Prove Me Wrong,17,Other,NP + Comp + NP2,input_texts/completed-websites-f25/wtvf.txt,"He was at the university on Wednesday to kick off his ""The American Comeback Tour, "" where he engaged students through political debates under tents branded with phrases like ""Prove Me Wrong.""",37,4
jobs,dobj,includes,2,restrictive,which,nsubj,which now includes Middle Tennessee State University ’ s assistant dean of students following Kirk ’ s death,18,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/wtvf.txt,"At times, those appearances have led to backlash — even costing some attendees their jobs, which now includes Middle Tennessee State University’s assistant dean of students following Kirk’s death.",36,7
comment,dobj,said,2,restrictive,zero,zero,many said undermined her ability to remain fair,8,ORC,zero relative,input_texts/completed-websites-f25/wtvf.txt,He confirmed the university fired its assistant dean of students after she posted a Facebook comment many said undermined her ability to remain fair.,25,5
climate,dobj,engage,3,restrictive,where,advmod,where students can engage in difficult political and social issues with respect and without violence,15,Other,NP + Comp + NP2,input_texts/completed-websites-f25/wtvf.txt,"“As student leaders, we must remain committed to encouraging respectful dialogue and having a campus climate where students can engage in difficult political and social issues with respect and without violence.",34,4
people,dobj,shooting,3,restrictive,who,nsubj,who were illegally shooting geese from a moving boat on the morning of Sept. 2 on Soddy Lake,18,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/wtvf.txt,The Tennessee Wildlife Resources Agency is asking for the public's help in identifying three people who were illegally shooting geese from a moving boat on the morning of Sept. 2 on Soddy Lake.,35,6
Families,nsubj,lost,2,restrictive,who,nsubj,who have lost loved ones in Tennessee prisons,8,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/wtvf.txt,"Families who have lost loved ones in Tennessee prisons gathered this week in Lebanon to share their stories and demand reform by state lawmakers, hoping their voices will spark change in a system they say is failing inmates.",40,9
members,dobj,died,1,restrictive,who,nsubj,who died while incarcerated in Tennessee facilities,7,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/wtvf.txt,"At the corrections townhall, attendees stood to represent family members who died while incarcerated in Tennessee facilities.",19,5
mechanisms,dobj,eliminated,3,restrictive,that,nsubjpass,that were previously eliminated,4,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/wtvf.txt,State Senator Mark Pody suggested restoring oversight mechanisms that were previously eliminated.,13,4
man,nsubj,worked,1,restrictive,who,nsubj,who worked for Turning Point USA,6,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/wtvf.txt,Nashville man who worked for Turning Point USA honors Charlie Kirk's legacy.,14,2
man,nsubj,worked,1,restrictive,who,nsubj,who worked closely with conservative activist Charlie Kirk,8,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/wtvf.txt,A Nashville man who worked closely with conservative activist Charlie Kirk is remembering the inspiration he found in Kirk's message and dedication to political engagement.,27,4
inspiration,dobj,found,2,restrictive,zero,zero,he found in Kirk 's message and dedication to political engagement,11,ORC,zero relative,input_texts/completed-websites-f25/wtvf.txt,A Nashville man who worked closely with conservative activist Charlie Kirk is remembering the inspiration he found in Kirk's message and dedication to political engagement.,27,4
someone,dobj,age,3,restrictive,who,nsubj,"who was my age with that level of confidence , and that level of energy ,",16,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/wtvf.txt,"To see someone who was my age with that level of confidence, and that level of energy, was something I've never seen before, and that's impactful, "" Koeppel said.",36,7
thing,nsubj,think,3,restrictive,zero,zero,I can think of,4,ORC,zero relative,input_texts/completed-websites-f25/wtvf.txt,"I mean, the only thing I can think of is continuing on that legacy of respectful debate, be willing to talk to people that don't like you, see their point of view, "" Koeppel said.",41,10
spirit,dobj,emerged,1,restrictive,that,nsubj,that emerged in the aftermath of the 2001 attacks,9,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/wtvf.txt,Organizers said the event was designed to reflect the spirit of unity that emerged in the aftermath of the 2001 attacks.,22,5
Smith,nsubj,pleaded,1,restrictive,who,nsubj,who pleaded guilty to a single charge of honest-services wire fraud back in 2022 and testified against her former colleagues back in May,23,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/wtvf.txt,"Smith, who pleaded guilty to a single charge of honest-services wire fraud back in 2022 and testified against her former colleagues back in May, still awaits sentencing.",30,4
agreement,dobj,solidifies,2,restrictive,that,nsubj,that again solidifies their working relationship,6,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/wtvf.txt,"NASHVILLE, Tenn. (WTVF) — It was a day of celebration Wednesday at Nashville General Hospital and Meharry Medical College as the two entities signed a joint agreement that again solidifies their working relationship.",37,4
those,nsubj,made,1,restrictive,who,nsubj,who made it happen,4,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/wtvf.txt,"It may have taken a while to get to this point, but those who made it happen said it's good to be here now.",27,8
design,dobj,complied,1,restrictive,that,nsubj,that complied with the Act,5,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/wtvf.txt,"According to the order, Padfield noted that Solaren contacted the Tennessee Peace Officer Standards & Training Commission (POST) and changed their patches ""in an effort to create a design that complied with the Act, implemented a written procedure for the use of its vehicles, implemented a bi-annual verification procedure to check employees' credentials, and hired a compliance officer.""",68,11
patches,dobj,identified,1,restrictive,that,nsubj,"that identified them as `` police , `` or `` police off-duty",12,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/wtvf.txt,"The report found that several DCSO employees admitted to, or were observed, wearing patches or vests that identified them as ""police, "" or ""police off-duty.""",32,6
interceptions,dobj,laughs,2,restrictive,zero,zero,"( laughs ) , not allowed",6,ORC,zero relative,input_texts/completed-websites-f25/elevenwarriors.txt,"But that's it — no more interceptions (laughs), not allowed, ” Ryan Day said after the Grambling State game.",25,4
owners,dobj,keep,1,restrictive,that,nsubj,that keep Central Ohio thriving,5,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/elevenwarriors.txt,"From game day to workday, First Bank of Central Ohio – the Official Bank of Eleven Warriors – is proud to support the business owners that keep Central Ohio thriving.",32,5
few,nsubj,had,2,restrictive,that,nsubj,that have had that privilege and that honor,8,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/elevenwarriors.txt,There's so few that have had that privilege and that honor.,13,3
